link,title,date,summary,paragraph
https://international.nubank.com.br/es/compania/nu-holdings-ltd-reporta-los-resultados-financieros-del-segundo-trimestre-de-2025/,Nu Holdings Ltd. Reporta los resultados financieros del segundo trimestre de 2025,"Ago 14 , 2025","""Estos resultados demuestran que es posible escalar de manera eficiente, con disciplina, y aún generar fuertes ganancias mientras construimos las bases para el largo plazo"", afirmó David Vélez, fundador y CEO de Nubank","São Paulo, Brasil, agosto 14, 2025 – Nu Holdings Ltd. (NYSE: NU) (“Nu” o la “Compañía”), una de las plataformas de servicios financieros digitales más grandes del mundo, publicó hoy sus resultados financieros del segundo trimestre de 2025. Los resultados financieros se expresan en dólares estadounidenses y se presentan de acuerdo con las Normas Internacionales de Información Financiera (NIIF). El comunicado completo de resultados está disponible en el sitio web de Relación con Inversores de la Compañía en www.investors.nu, así como los detalles de la Conferencia de Resultados que Nu realizará hoy a las 6:00 p.m. hora del Este / 7:00 p.m. hora de Brasilia."
https://international.nubank.com.br/es/compania/nubank-nombra-a-eric-young-como-director-de-tecnologia-cto/,Nubank nombra a Eric Young como Director de Tecnología (CTO),"Ago 12 , 2025","Vitor Olivier dejará el cargo en septiembre, después de una transición de meses para iniciar su propia compañía.","São Paulo, Brasil – 12 de agosto de 2025 – Nubank, una de las plataformas de servicios financieros digitales más grandes del mundo, anunció hoy que Eric Young ha sido nombrado Director de Tecnología (CTO). Él asume esta posición clave en reemplazo de Vitor Olivier, quien se retira después de más de una década de servicio para emprender un nuevo proyecto empresarial. Ambos ejecutivos están coordinando un sólido plan de transición para garantizar la aceleración continua de la plataforma tecnológica y los objetivos de negocio de Nubank."
https://international.nubank.com.br/es/compania/david-velez-y-roberto-campos-neto-discuten-la-proxima-frontera-de-los-servicios-financieros-globales-pix-open-finance-y-tokenizacion/,"David Vélez y Roberto Campos Neto discuten la próxima frontera de los servicios financieros globales: Pix, Open Finance y tokenización","Ago 5 , 2025","En un nuevo episodio de Nu Videocast, los ejecutivos hablan sobre la nueva posición de Campos Neto y comparten sus visiones sobre el papel de la tecnología en la inclusión, educación e integración financiera.","São Paulo, 5 de agosto de 2025 – Pix inauguró una revolución tecnológica en el sector financiero global, que será impulsada aún más por la integración de pagos instantáneos con Open Finance y la tokenización de las finanzas. La inteligencia artificial es la fuerza propulsora detrás de esta tríada que ya está en marcha para generar mayor acceso, educación financiera e integración global. Esto es lo que David Vélez, fundador y CEO, y Roberto Campos Neto, recién llegado Vice Chairman y Head Global de Políticas Públicas en Nubank, discuten en un nuevo episodio de Nu Videocast."
https://international.nubank.com.br/es/compania/nu-lanza-campana-en-brasil-y-mexico-inspirada-en-merlina-la-iconica-serie-de-netflix/,"Nu lanza campaña en Brasil y México inspirada en Merlina, la icónica serie de Netflix","Jul 30 , 2025","La alianza incluye el lanzamiento de un cortometraje protagonizado por “Piecito”,  personaje original inspirado por Dedos, que contó con la participación del equipo creativo de la serie","Ciudad de México, 31 de julio de 2025 – Nu anunció hoy su primera campaña lanzada simultáneamente en Brasil y México, dos de sus mercados más importantes.  La iniciativa, desarrollada en alianza con Netflix, acompaña el estreno de la segunda temporada de la serie Merlina y presenta a “Piecito”, un personaje nuevo y original creado por la institución financiera e inspirado en ese universo."
https://international.nubank.com.br/es/compania/nubank-abre-inscripciones-para-la-4a-edicion-del-programa-de-pasantias-con-mas-de-140-vacantes-en-las-areas-de-tecnologia-y-funciones-corporativas/,Nubank abre inscripciones para la 4ª edición del Programa de Pasantías con más de 140 vacantes en las áreas de tecnología y funciones corporativas,"Jul 28 , 2025",El programa ofrece oportunidades para trabajar tanto en equipos de tecnología como en funciones corporativas. Las inscripciones están abiertas hasta el 19 de agosto de 2025 y son exclusivas para personas que residen en el estado de São Paulo.,El programa ofrece oportunidades para trabajar tanto en equipos de tecnología como en funciones corporativas. Las inscripciones están abiertas hasta el 19 de agosto de 2025 y son exclusivas para personas que residen en el estado de São Paulo.
https://international.nubank.com.br/es/clientes/nubank-ultravioleta-mejora-beneficio-de-esim-de-viaje-con-10-gb-que-nunca-expiran-y-renovacion-anual-automatica/,Nubank Ultravioleta mejora beneficio de eSIM de viaje con 10 GB que nunca expiran y renovación anual automática,"Jul 28 , 2025",Nubank anuncia una mejora en el beneficio de su eSIM para viajes internacionales.,"São Paulo, 28 de julio de 2025 – Nubank, una de las plataformas de servicios financieros digitales más grandes del mundo, anuncia una mejora en el beneficio de su eSIM para viajes internacionales. Ahora, los 10 GB de datos incluidos con la eSIM nunca expirarán y podrán usarse en múltiples viajes a lo largo del año. El beneficio también se renovará automáticamente después de 365 días, eliminando la necesidad de activar una nueva SIM virtual. Esta actualización ofrece mayor flexibilidad y conveniencia, asegurando conectividad continua para los viajeros frecuentes que son clientes Ultravioleta."
https://international.nubank.com.br/es/compania/nubank-anuncia-ethan-eismann-como-chief-design-officer-profundizando-el-compromiso-con-la-experiencia-del-cliente/,"Nubank anuncia Ethan Eismann como Chief Design Officer, profundizando el compromiso con la experiencia del cliente","Jul 24 , 2025","Con amplia experiencia en liderazgo en empresas como Slack, Airbnb, Uber y Google, el ejecutivo liderará esfuerzos para elevar el diseño de Nubank a medida que la empresa se expande","São Paulo, 24 de julio de 2025 – Nubank, una de las plataformas de servicios financieros digitales más grandes del mundo, anuncia a Ethan Eismann como su primer Chief Design Officer (CDO). Esta nueva posición ejecutiva subraya el compromiso de Nubank de ofrecer una experiencia al cliente inigualable en su creciente ecosistema de productos y servicios."
https://international.nubank.com.br/es/clientes/nucel-lanza-chip-fisico-y-amplia-sus-opciones-de-contratacion/,NuCel lanza chip físico y amplía sus opciones de contratación,"Jul 23 , 2025","Los clientes podrán adquirir el chip a través de la pestaña de NuCel en la aplicación y recibirlo en casa sin costo; el producto cuenta con una oferta de planes actualizada, trayendo mejoras para ellos","São Paulo, Brasil, 23 de julio de 2025 – Nubank, una de las plataformas de servicios financieros digitales más grandes del mundo, anuncia la expansión de las posibilidades de contratación para NuCel con el lanzamiento del chip físico. A partir de ahora, y de forma gradual, los clientes podrán adquirir el chip directamente a través de la pestaña NuCel en la aplicación y recibirlo en casa en pocos días, sin costo adicional."
https://international.nubank.com.br/es/clientes/nubank-inicia-las-pruebas-del-nuevo-nucoin/,Nubank inicia las pruebas del nuevo NuCoin,"Jul 21 , 2025",El programa de fidelización fue reformulado para atender al segmento más grande de la institución y los primeros clientes ya pueden experimentar nuevas mecánicas de recompensa,"São Paulo, 21 de julio de 2025 – Nubank anuncia el inicio de las pruebas del nuevo NuCoin, su más reciente programa de fidelización. La iniciativa responde a una demanda por beneficios y reconocimiento de clientes que hasta ahora no estaban contemplados por programas de fidelización en el mercado, y va más allá de la lógica tradicional de beneficiar solo a quienes gastan más con la tarjeta de crédito. Con la nueva iniciativa, será posible ganar nucoins y participar por recompensas también al usar la tarjeta de débito. Gradualmente, se incorporarán otras acciones al programa, como pagar facturas a tiempo, registrar una clave Pix y compartir datos con Nubank a través de Open Finance, ampliando las formas de participación."
https://international.nubank.com.br/es/compania/nubank-es-nombrado-el-mejor-banco-digital-para-consumidores-en-america-latina-por-euromoney/,Nubank es nombrado el Mejor Banco Digital para Consumidores en América Latina por Euromoney,"Jul 18 , 2025",La publicación financiera también ha reconocido a Nu como el Mejor Banco Digital en Brasil,"São Paulo, 18 de julio de 2025 — Nubank ha sido nombrado el Mejor Banco Digital para Consumidores en América Latina por los Euromoney Awards for Excellence 2025. La revista británica Euromoney también reconoció a Nu como ""El Mejor Banco Digital de Brasil"" por revolucionar el mercado de la banca minorista mientras alcanzaba un crecimiento sin precedentes que ha llevado a una rentabilidad líder en el mercado. Este es el segundo año consecutivo que Nu es reconocido por la revista, con 8 premios en total (incluido en 2021)."
